top_headline_dates,keywords
2015-11,paris|isis|attacks|airstrikes|refugees|syrian|war|says|corbyn|uk
2015-09,refugees|refugee|crisis|says|syrian|isis|uk|un|cameron|corbyn
2013-09,chemical|weapons|us|obama|un|crisis|live|says|syrian|russia
2014-09,isis|us|strikes|iraq|air|obama|says|war|uk|british
2015-12,isis|airstrikes|war|labour|says|corbyn|syrian|refugees|mps|jeremy
2016-01,isis|refugee|uk|says|us|syrian|children|labour|saudi|reshuffle
2015-10,us|says|syrian|isis|refugee|uk|refugees|russia|russian|crisis
2016-03,isis|brussels|attacks|syrian|eu|turkey|refugee|us|peace|talks
2013-08,chemical|intervention|attack|us|military|crisis|syrian|cameron|obama|un
2014-08,isis|iraq|us|james|david|foley|obama|says|cameron|gaza
2017-04,trump|trump's|us|attack|assad|says|chemical|strikes|russia|donald
2016-02,syrian|eu|says|uk|isis|us|refugee|happened|refugees|cameron
2019-10,trump|us|briefing|isis|kurds|turkish|impeachment|turkey|happened|trump's
2018-04,us|trump|strikes|may|chemical|attack|russia|trump's|uk|syrian
2016-09,us|syrian|trump|refugees|un|says|aid|russia|happened|new
2014-10,isis|us|kobani|uk|british|iraq|turkey|fight|air|says
2014-06,iraq|isis|us|crisis|iraqi|live|obama|politics|syrian|war
2016-12,aleppo|uk|says|russia|us|trump|refugees|isis|refugee|may
2016-10,aleppo|us|russia|trump|debate|says|war|clinton|isis|mosul
2017-01,trump|ban|trump's|travel|us|donald|says|refugees|uk|new
2015-03,isis|us|war|live|syrian|british|uk|says|cameron|terror
2015-06,isis|says|attack|tunisia|us|uk|police|new|terror|cameron
2016-07,us|isis|war|iraq|attack|says|refugees|nice|coup|syrian
2015-07,isis|uk|cameron|british|says|us|deal|iran|syrian|letters
2013-05,syrian|us|crisis|rebels|says|arms|war|talks|obama|israel
2016-11,trump|us|isis|russia|aleppo|refugees|trump's|happened|says|syrian
2017-06,trump|us|climate|paris|may|trump's|grenfell|happened|london|qatar
2015-02,isis|war|uk|mohammed|emwazi|islamic|us|says|air|state
2016-04,refugees|obama|us|isis|syrian|refugee|says|barack|child|eu
2016-05,isis|war|refugees|refugee|says|eu|happened|humanitarian|us|iraq
2023-02,earthquake|turkey|happened|ukraine|toll|first|aid|war|death|briefing
2014-01,talks|syrian|peace|geneva|al|says|syria's|refugees|war|us
2015-01,isis|paris|attacks|charlie|saudi|hebdo|war|attack|iraq|state
2013-06,g8|syrian|cameron|us|rebels|live|crisis|summit|says|david
2016-06,jo|cox|says|eu|isis|happened|brexit|trump|orlando|referendum
2014-11,isis|us|uk|terror|peter|jihadi|islamic|state|obama|kassig
2012-07,syrian|assad|crisis|aleppo|regime|al|syria's|battle|rebels|un
2012-02,syrian|homs|un|assad|arab|marie|us|war|says|syria's
2017-02,trump|ban|travel|us|trump's|refugees|says|isis|uk|happened
